protocol_name,src,sport,dst,dport,proto,push_flag_ratio,average_len,average_payload_len,pkt_count,flow_average_inter_arrival_time,kolmogorov,shannon
unknown,192.168.137.113,41095,60.217.248.28,443,6,0.231,1140,1100,39,0.0247,0.9801,7.9846
unknown,192.168.137.113,42737,111.13.105.24,443,6,0.842,580,540,19,0.0043,0.8956,7.811
unknown,192.168.137.113,57989,218.206.90.172,443,6,0.500,952,912,14,0.0044,0.9412,7.9129
unknown,192.168.137.113,40118,120.221.12.30,443,6,0.368,963,923,19,0.004,0.9571,7.9491
unknown,192.168.137.113,42504,218.206.90.28,443,6,1.000,528,476,5,0.0006,0.9542,7.6534
unknown,192.168.137.113,58752,223.99.245.161,443,6,0.412,986,946,17,0.0147,0.9483,7.9315
unknown,192.168.137.113,37506,223.99.245.172,443,6,0.923,478,438,13,0.0083,0.9731,7.8762
unknown,192.168.137.113,52867,221.179.183.218,443,6,1.000,229,177,5,0.0009,0.9786,7.3962
unknown,192.168.137.113,55001,120.221.12.30,443,6,0.240,1233,1193,104,0.0245,0.9941,7.9974
unknown,192.168.137.113,41449,223.99.245.161,443,6,0.421,988,948,19,0.0599,0.994,7.9783
unknown,192.168.137.113,50113,120.221.12.30,443,6,0.313,1245,1205,163,0.038,0.9965,7.9981
unknown,192.168.137.113,38807,218.206.90.28,443,6,1.000,533,481,5,0.0006,0.9551,7.6521
