id,protocol_name,src,sport,dst,dport,proto,push_flag_ratio,average_len,average_payload_len,pkt_count,flow_average_inter_arrival_time,kolmogorov,shannon
336,https,192.168.137.113,41501,111.13.101.221,443,6,0.909,383,343,11,0.0029,0.9955,7.8898
337,https,192.168.137.113,53692,111.6.172.48,443,6,0.714,695,655,7,0.0025,0.7625,7.3411
338,https,192.168.137.113,34633,111.13.101.191,443,6,0.889,383,343,9,0.0539,0.936,7.59
339,https,192.168.137.113,55741,222.35.78.48,443,6,0.750,616,576,8,0.0056,0.765,7.3394
340,https,192.168.137.113,59569,111.13.101.221,443,6,1.000,300,260,10,0.0013,0.9904,7.7975
341,https,192.168.137.113,40396,183.232.231.85,443,6,0.938,270,230,32,0.1618,0.8165,7.6105
342,https,192.168.137.113,60722,61.135.169.121,443,6,0.694,698,658,85,0.3423,0.9777,7.9797
343,https,192.168.137.113,49325,115.28.234.80,443,6,0.800,523,471,10,0.0522,0.8511,7.6835
344,https,192.168.137.113,48276,112.34.112.78,443,6,1.000,584,544,20,0.0697,0.9716,7.8973
345,https,192.168.137.113,36224,222.35.78.49,443,6,1.000,230,190,5,0.0036,0.8237,6.5313
346,https,192.168.137.113,47706,111.6.172.48,443,6,0.607,788,748,56,0.1702,0.9729,7.9797
347,https,192.168.137.113,48981,222.35.78.40,443,6,0.032,1345,1305,308,0.4829,0.9977,7.9993
348,https,192.168.137.113,40124,222.35.78.49,443,6,0.186,1214,1174,145,1.8403,0.994,7.9979
349,https,192.168.137.113,36003,111.6.172.48,443,6,0.342,1029,989,38,0.038,0.9725,7.9769
350,https,192.168.137.113,60999,111.13.101.178,443,6,0.789,630,590,19,0.0042,0.9056,7.8247
351,https,192.168.137.113,57074,112.34.112.78,443,6,0.833,510,470,12,0.0067,0.9635,7.8232
352,https,192.168.137.113,53866,112.34.111.114,443,6,0.889,351,311,9,0.0015,0.9261,7.5494
353,https,192.168.137.113,38214,222.35.78.48,443,6,0.382,975,935,34,0.1082,0.967,7.975
354,https,192.168.137.113,45725,222.35.78.31,443,6,0.800,524,484,25,0.0332,0.9028,7.8572
355,https,192.168.137.113,51713,111.13.101.221,443,6,1.000,326,286,9,0.0281,0.9919,7.8024
356,https,192.168.137.113,52628,222.35.78.48,443,6,0.302,1093,1053,53,0.0738,0.9818,7.9899
357,https,192.168.137.113,34585,183.232.231.65,443,6,0.909,312,272,11,0.0556,0.9057,7.5712
358,https,192.168.137.113,33349,111.13.101.221,443,6,0.611,683,643,18,0.0036,0.9968,7.9726
359,https,192.168.137.113,34631,111.13.101.191,443,6,0.720,777,737,25,0.0479,0.9871,7.9559
360,https,192.168.137.113,51174,222.35.78.49,443,6,0.123,1273,1233,397,0.1173,0.998,7.9993
361,https,192.168.137.113,44769,119.75.222.188,443,6,0.613,873,833,62,0.013,0.979,7.9816
362,https,192.168.137.113,40185,112.54.108.104,443,6,0.667,640,600,15,0.0801,0.9236,7.8795
363,https,192.168.137.113,42859,111.30.137.24,443,6,0.842,624,584,19,0.2465,0.9057,7.8479
364,https,192.168.137.113,43992,222.35.78.49,443,6,0.800,508,468,10,0.0096,0.7666,7.3482
