id,protocol_name,src,sport,dst,dport,proto,push_flag_ratio,average_len,average_payload_len,pkt_count,flow_average_inter_arrival_time,kolmogorov,shannon
191,https,192.168.137.113,37435,222.35.78.49,443,6,1.000,200,160,6,0.0025,0.8229,6.6136
192,https,192.168.137.113,48658,39.156.41.32,443,6,0.778,667,627,9,0.0045,0.8542,7.6581
193,https,192.168.137.113,52063,180.76.22.32,443,6,0.107,1258,1218,178,0.0258,0.9995,7.9989
194,https,192.168.137.113,39978,119.75.222.92,443,6,0.371,1059,1019,547,1.6313,0.9946,7.9968
195,https,192.168.137.113,34669,111.13.101.191,443,6,1.000,164,124,6,0.0937,0.685,5.5165
196,https,192.168.137.113,46330,111.6.225.35,443,6,0.714,599,559,7,0.0218,0.8152,7.4953
197,https,192.168.137.113,52077,222.35.78.48,443,6,0.800,569,529,10,0.0069,0.7937,7.4746
198,https,192.168.137.113,37109,218.206.90.28,443,6,1.000,527,475,5,0.0006,0.9542,7.6705
199,https,192.168.137.113,54460,223.99.245.161,443,6,0.625,826,786,16,0.0124,0.9364,7.913
200,https,192.168.137.113,53052,111.13.101.221,443,6,0.684,652,612,19,0.0052,0.9967,7.9719
201,https,192.168.137.113,49923,222.35.78.49,443,6,0.109,1278,1238,329,1.6837,0.9976,7.9991
202,https,192.168.137.113,34503,221.179.183.213,443,6,1.000,229,177,5,0.001,0.9752,7.3887
203,https,192.168.137.113,34438,183.232.231.65,443,6,0.800,460,420,15,0.009,0.8281,7.5918
204,https,192.168.137.113,33101,120.221.12.30,443,6,0.250,1178,1138,36,0.013,0.982,7.9866
205,https,192.168.137.113,57565,119.75.222.189,443,6,0.846,425,385,13,0.0796,0.9525,7.7715
206,https,192.168.137.113,53409,218.206.90.28,443,6,1.000,530,478,5,0.0005,0.954,7.6553
207,https,192.168.137.113,54605,218.206.90.28,443,6,1.000,534,482,5,0.0013,0.9552,7.6618
208,https,192.168.137.113,58518,222.35.78.49,443,6,0.750,615,575,8,0.0083,0.7644,7.3339
209,https,192.168.137.113,38832,111.6.172.48,443,6,0.750,615,575,8,0.0047,0.7641,7.3383
210,https,192.168.137.113,38456,120.221.12.7,443,6,0.778,633,593,9,0.0017,0.8317,7.5652
211,https,192.168.137.113,47203,119.75.222.188,443,6,0.553,905,865,123,0.7786,0.9893,7.9917
212,https,192.168.137.113,54733,61.135.169.125,443,6,0.889,359,319,9,0.0608,0.9528,7.6564
213,https,192.168.137.113,36298,111.13.101.73,443,6,0.889,333,293,9,0.0014,0.9314,7.5404
214,https,192.168.137.113,34749,120.221.12.30,443,6,0.556,725,685,27,0.0215,0.9495,7.9494
215,https,192.168.137.113,35808,111.6.172.48,443,6,0.656,693,653,32,0.0654,0.9902,7.9708
216,https,192.168.137.113,43218,221.179.183.213,443,6,1.000,229,177,5,0.0008,0.9741,7.3574
217,https,192.168.137.113,54783,61.135.169.125,443,6,0.733,747,707,30,0.1789,0.9498,7.9417
