id,protocol_name,src,sport,dst,dport,proto,push_flag_ratio,average_len,average_payload_len,pkt_count,flow_average_inter_arrival_time,kolmogorov,shannon,label
318,https,192.168.137.113,53792,111.6.172.48,443,6,0.022,1362,1322,496,0.7186,0.9987,7.9995,2
9,https,192.168.137.113,34739,111.13.101.191,443,6,0.778,577,537,18,0.0364,0.9752,7.9013,2
516,https,192.168.137.113,45725,222.35.78.31,443,6,0.8,524,484,25,0.0332,0.9028,7.8572,0
409,https,192.168.137.113,33648,112.54.108.104,443,6,0.562,778,738,16,0.0558,0.9414,7.9236,0
242,https,192.168.137.113,56708,119.75.222.189,443,6,1.0,71,31,1,0.0,1.0,4.0266,0
169,https,192.168.137.113,48464,119.75.222.188,443,6,0.595,783,743,37,0.1543,0.9903,7.9718,0
35,https,192.168.137.113,58467,117.185.16.107,443,6,0.867,381,341,15,0.0298,0.7813,7.4085,1
50,https,192.168.137.113,53799,111.6.172.48,443,6,0.009000000000000001,1375,1335,1620,1.66,0.9998,7.9998,1
197,https,192.168.137.113,53824,111.6.172.48,443,6,0.5,885,845,26,0.0053,0.9528,7.9538,2
115,https,192.168.137.113,46349,59.111.181.35,443,6,0.444,978,926,36,0.0078,0.9965,7.9882,1
283,https,192.168.137.113,40239,119.75.222.188,443,6,0.407,1014,974,27,0.2609,0.9911,7.975,0
177,https,192.168.137.113,56254,122.70.142.80,443,6,0.08199999999999999,1322,1282,85,0.0119,0.9902,7.996,1
513,https,192.168.137.113,53866,112.34.111.114,443,6,0.889,351,311,9,0.0015,0.9261,7.5494,0
567,https,192.168.137.113,36495,183.232.231.63,443,6,0.909,284,244,22,1.0371,0.7485,7.4043,1
457,https,192.168.137.113,36495,183.232.231.63,443,6,0.909,284,244,22,1.0371,0.7485,7.4043,0
185,https,192.168.137.113,41566,221.179.183.213,443,6,1.0,229,177,5,0.0032,0.9718,7.3708,0
172,https,192.168.137.113,54716,61.135.169.125,443,6,0.741,650,610,27,0.2158,0.9869,7.9566,0
245,https,192.168.137.113,44268,111.13.101.221,443,6,0.471,998,958,244,4.0597,0.9978,7.9948,0
310,https,192.168.137.113,60721,119.75.222.188,443,6,1.0,71,31,1,0.0,1.0,4.051,1
530,https,192.168.137.113,45598,222.35.78.32,443,6,0.75,615,575,8,0.0092,0.765,7.3491,1
127,https,192.168.137.113,53800,222.35.78.49,443,6,0.75,615,575,8,0.019,0.7658,7.3402,0
489,https,192.168.137.113,50194,119.75.222.189,443,6,0.84,549,509,25,0.2696,0.9726,7.916,0
635,https,192.168.137.113,45225,59.111.181.35,443,6,0.6,945,893,20,0.0055,0.9933,7.9743,1
16,https,192.168.137.113,35679,59.111.181.35,443,6,0.447,1020,968,38,0.0168,0.9967,7.99,1
157,https,192.168.137.113,60745,61.135.169.121,443,6,0.818,525,485,11,0.0061,0.973,7.8427,2
326,https,192.168.137.113,54715,61.135.169.125,443,6,0.722,657,617,36,0.355,0.9904,7.9654,1
18,https,192.168.137.113,48750,180.76.22.33,443,6,0.446,961,921,56,0.1726,0.9798,7.9865,0
101,https,192.168.137.113,34925,222.35.78.49,443,6,0.8240000000000001,456,416,17,0.0169,0.8428,7.6492,2
353,https,192.168.137.113,38214,222.35.78.48,443,6,0.382,975,935,34,0.1082,0.967,7.975,2
418,https,192.168.137.113,60430,218.206.90.28,443,6,1.0,528,476,5,0.0013,0.953,7.6412,0
26,https,192.168.137.113,36297,111.13.101.73,443,6,0.889,361,321,9,0.0022,0.9384,7.5906,1
65,https,192.168.137.113,48986,222.35.78.40,443,6,0.018000000000000002,1367,1327,558,0.8355,0.9989,7.9995,0
136,https,192.168.137.113,47881,221.179.183.213,443,6,1.0,225,173,6,0.0007,0.8357,7.3926,1
292,https,192.168.137.113,56107,223.99.245.172,443,6,0.778,631,591,9,0.0088,0.8255,7.5667,0
121,https,192.168.137.113,34704,111.13.101.191,443,6,0.857,647,607,28,0.1138,0.9832,7.9416,2
238,https,192.168.137.113,41409,222.222.88.102,443,6,0.895,324,284,19,0.1476,0.8171,7.6813,0
201,https,192.168.137.113,44376,119.75.222.189,443,6,0.875,753,713,24,2.7927,0.5208,7.8969,1
266,https,192.168.137.113,53790,111.6.172.48,443,6,0.014,1367,1327,557,0.6762,0.9989,7.9996,2
511,https,192.168.137.113,38124,59.111.181.35,443,6,0.889,481,429,9,0.0025,0.9716,7.8191,1
374,https,192.168.137.113,54645,223.99.245.179,443,6,0.727,768,728,11,0.0014,0.8911,7.7784,1
210,https,192.168.137.113,38456,120.221.12.7,443,6,0.778,633,593,9,0.0017,0.8317,7.5652,0
425,https,192.168.137.113,48676,180.76.22.33,443,6,0.277,1103,1063,112,0.0373,0.9906,7.9954,0
56,https,192.168.137.113,43245,120.221.12.7,443,6,0.778,594,554,9,0.0051,0.8382,7.5942,0
422,https,192.168.137.113,52405,111.13.101.221,443,6,0.9,312,272,10,0.0026,0.9934,7.8188,0
282,https,192.168.137.113,49515,111.6.172.48,443,6,0.317,1047,1007,41,0.0582,0.9749,7.9827,0
28,https,192.168.137.113,40903,180.76.76.112,443,6,0.778,530,490,9,0.0087,0.8382,7.6055,2
